С 2017-03-14 00:00 по 2017-03-27 23:59;;;;;;;;;;;;;;;;;;
Date;Object;Means of transport;Car model;On Time. ignition;Downtime with incl. ignition;Check-out time;Check-in;Working hours;Mileage, km;Mileage, mil;Average speed, km/h;Speed (max), km/h;Mileage is not at work, km;Price;Fuel consumption of l on 100 km;Fuel consumption of l on 100 km on norm;Consumption norm;Spent fuel l
2017-03-14;8929 USUZU;;;06:25:34;03:28:22;00:34;23:06;22:32;23899.72;14841.73;31;74;;;-;0;0;0
2017-03-15;8929 USUZU;;;04:27:00;00:50:25;00:48;14:20;13:31;2009.38;1247.82;37.9;72;;;-;0;0;0
2017-03-16;8929 USUZU;;;03:47:21;00:50:36;04:57;14:31;09:34;124.4;77.25;33.2;70;;;-;0;0;0
2017-03-17;8929 USUZU;;;00:55:33;00:47:24;08:04;12:50;04:46;1.82;1.13;6;17;;;-;-;0;0
2017-03-18;8929 USUZU;;;04:43:03;00:50:36;05:00;15:26;10:25;168.66;104.74;36.1;70;;;-;0;0;0
2017-03-19;8929 USUZU;;;00:00:00;00:00:00;;;;0.74;0.46;6;20;;;-;-;0;0
2017-03-20;8929 USUZU;;;03:21:31;00:31:53;04:52;15:30;10:37;145.33;90.25;36.1;78;;;-;0;0;0
2017-03-21;8929 USUZU;;;04:50:46;00:32:35;05:00;16:17;11:17;202.16;125.54;40.2;74;;;-;0;0;0
2017-03-22;8929 USUZU;;;05:05:25;00:52:01;04:37;18:22;13:44;185.91;115.45;37.4;74;;;-;0;0;0
2017-03-23;8929 USUZU;;;03:47:38;00:41:11;04:53;16:01;11:08;133.23;82.74;36.6;69;;;-;0;0;0
2017-03-24;8929 USUZU;;;04:12:28;00:42:54;06:03;15:22;09:18;116.67;72.45;27.3;74;;;-;0;0;0
2017-03-25;8929 USUZU;;;05:05:32;01:04:32;06:05;17:52;11:47;157.11;97.57;31.1;70;;;-;0;0;0
2017-03-26;8929 USUZU;;;00:00:00;00:00:00;;;;0.07;0.04;4.8;6;;;-;-;0;0
2017-03-27;8929 USUZU;;;03:22:03;00:35:43;04:47;13:20;08:33;138.85;86.23;44.5;72;;;-;0;0;0
